Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4, C5, C6, C7, C8",0805,7,0.1u,
C2,CP_Radial_D5.0mm_P2.50mm,1,C_Polarized,
"D1, D2",LED_D3.0mm,2,LED,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad,4,MountingHole_Pad,
J1,USB_B_OST_USB-B1HSxx_Horizontal,1,USB_B,
J2,PinHeader_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
J3,PinHeader_1x06_P2.54mm_Horizontal,1,Conn_01x06_Male,
"R1, R2",0603,2,470,
RN1,R_Array_SIP9,1,R_Network08,
"U1, U2, U3",DIP-20_W7.62mm,3,74LS373,
U4,MSOP-10_3x3mm_P0.5mm,1,CH340E,
U5,DIP-32_W15.24mm,1,SST39SF010A,
U6,SSOP-20_4.4x6.5mm_P0.65mm,1,CH32V003F4P6,
